time_s,CH1_V,CH2_V
-0.44873,-0.0012000000000000001,-0.0844
-0.44872,0.0004,-0.0844
-0.44871,-0.0004,-0.0844
-0.4487,-0.0004,-0.0844
-0.44869,-0.0004,-0.0844
-0.44867999999999997,0.0004,-0.0844
-0.44867,-0.0004,-0.0844
-0.44866,-0.0004,-0.0844
-0.44865,-0.0004,-0.0844
-0.44864,-0.0004,-0.0844
-0.44863,0.0004,-0.0844
-0.44862,0.0004,-0.0844
-0.44861,-0.0004,-0.0844
-0.4486,-0.0012000000000000001,-0.0844
-0.44859,0.0004,-0.0844
-0.44858,-0.0012000000000000001,-0.0844
-0.44857,0.0004,-0.0844
-0.44856,-0.0004,-0.0844
-0.44855,0.0004,-0.0844
-0.44854,-0.0012000000000000001,-0.0844
-0.44853,-0.0004,-0.0844
-0.44852,-0.0012000000000000001,-0.0844
-0.44851,0.0004,-0.0844
-0.4485,-0.0012000000000000001,-0.0844
-0.44849,-0.0004,-0.0844
-0.44848,0.0004,-0.0844
-0.44847,-0.0012000000000000001,-0.0844
-0.44845999999999997,0.0004,-0.0844
-0.44845,-0.0012000000000000001,-0.0844
-0.44844,-0.0004,-0.0844
-0.44843,0.0004,-0.0844
-0.44842,0.0004,-0.0844
-0.44841,-0.0004,-0.0844
-0.4484,-0.0012000000000000001,-0.0844
-0.44839,-0.0004,-0.0844
-0.44838,-0.0004,-0.0844
-0.44837,-0.0004,-0.0844
-0.44836,-0.0012000000000000001,-0.0844
-0.44835,-0.0004,-0.0844
-0.44834,-0.0012000000000000001,-0.0844
-0.44833,-0.0004,-0.0844
-0.44832,-0.0012000000000000001,-0.0844
-0.44831,-0.0012000000000000001,-0.0844
-0.4483,-0.0012000000000000001,-0.0844
-0.44828999999999997,0.0012000000000000001,-0.0844
-0.44828,-0.0004,-0.0844
-0.44827,0.0004,-0.0844
-0.44826,0.0004,-0.0844
-0.44825,0.0004,-0.0844
-0.44823999999999997,-0.0004,-0.0844
-0.44823,-0.002,-0.0844
-0.44822,0.0004,-0.0844
-0.44821,-0.0012000000000000001,-0.0844
-0.4482,-0.0012000000000000001,-0.0844
-0.44819,0.0004,-0.0844
-0.44818,0.0004,-0.0844
-0.44817,-0.0004,-0.0844
-0.44816,-0.0004,-0.0844
-0.44815,-0.002,-0.0844
-0.44814,-0.0004,-0.0844
-0.44813,0.0012000000000000001,-0.0844
-0.44812,0.0004,-0.0844
-0.44811,-0.0004,-0.0844
-0.4481,0.0004,-0.0844
-0.44809,0.0004,-0.0844
-0.44808,-0.0004,-0.0844
-0.44806999999999997,0.0004,-0.0844
-0.44806,-0.0012000000000000001,-0.0844
-0.44805,0.0004,-0.0844
-0.44804,0.0004,-0.0844
-0.44803,0.0004,-0.0844
-0.44802,-0.0012000000000000001,-0.0844
-0.44801,-0.0004,-0.0844
-0.448,-0.0012000000000000001,-0.0844
-0.44799,0.0004,-0.0844
-0.44798,-0.0012000000000000001,-0.0844
-0.44797,-0.0004,-0.0844
-0.44796,-0.0004,-0.0844
-0.44795,0.0004,-0.0844
-0.44794,0.0004,-0.0844
-0.44793,0.0012000000000000001,-0.0844
-0.44792,-0.0004,-0.0844
-0.44791,-0.0012000000000000001,-0.0844
-0.44789999999999996,0.0004,-0.0844
-0.44789,0.0004,-0.0844
-0.44788,0.0004,-0.0844
-0.44787,-0.0004,-0.0844
-0.44786,-0.0004,-0.0844
-0.44784999999999997,-0.0004,-0.0844
-0.44784,0.0004,-0.0844
-0.44783,-0.0004,-0.0844
-0.44782,-0.002,-0.0844
-0.44781,-0.0004,-0.0844
-0.4478,-0.0004,-0.0844
-0.44779,-0.0012000000000000001,-0.0844
-0.44778,-0.0004,-0.0844
-0.44777,-0.0004,-0.0844
-0.44776,-0.0004,-0.0844
-0.44775,0.0004,-0.0844
-0.44774,-0.0012000000000000001,-0.0844
-0.44773,-0.0012000000000000001,-0.0844
-0.44772,-0.0004,-0.0844
-0.44771,0.0004,-0.0844
-0.4477,-0.0004,-0.0844
-0.44769,-0.0012000000000000001,-0.0844
-0.44767999999999997,-0.0012000000000000001,-0.0844
-0.44767,-0.0012000000000000001,-0.0844
-0.44766,-0.0004,-0.0844
-0.44765,-0.002,-0.0844
-0.44764,-0.002,-0.0844
-0.44763,-0.0004,-0.0844
-0.44762,-0.0012000000000000001,-0.0844
-0.44761,0.0004,-0.0844
-0.4476,-0.002,-0.0844
-0.44759,-0.0004,-0.0844
-0.44758,-0.0004,-0.0844
-0.44757,-0.0004,-0.0844
-0.44756,-0.0004,-0.0844
-0.44755,-0.0004,-0.0844
-0.44754,0.0012000000000000001,-0.0844
-0.44753,0.0004,-0.0844
-0.44752,-0.002,-0.0844
