TIME,CH1,CH2,FREQ
0.2785000000000001,0.034,0.058,456774306079452.312500
0.27851000000000004,0.0316,0.0572,456774306079452.312500
0.2785200000000001,0.0356,0.0572,456774306079452.312500
0.27853000000000006,0.034,0.058,456774306079452.312500
0.27854,0.037200000000000004,0.0596,456774306079452.312500
0.2785500000000001,0.0356,0.0596,456774306079452.312500
0.27856000000000003,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.2785700000000001,0.0356,0.058,456774306079452.312500
0.27858000000000005,0.0356,0.058,456774306079452.312500
0.2785900000000001,0.038,0.056400000000000006,456774306079452.312500
0.27860000000000007,0.0364,0.058,456774306079452.312500
0.27861,0.0364,0.058800000000000005,456774306079452.312500
0.2786200000000001,0.0364,0.058,456774306079452.312500
0.27863000000000004,0.0332,0.058,456774306079452.312500
0.2786400000000001,0.0332,0.058800000000000005,456774306079452.312500
0.27865000000000006,0.0284,0.058,456774306079452.312500
0.27866,0.034800000000000005,0.0548,456774306079452.312500
0.2786700000000001,0.0356,0.0444,456774306079452.312500
0.27868000000000004,0.0364,0.058800000000000005,456774306079452.312500
0.2786900000000001,0.034,0.0468,456774306079452.312500
0.27870000000000006,0.034800000000000005,0.0596,456774306079452.312500
0.27871,0.034800000000000005,0.0548,456774306079452.312500
0.2787200000000001,0.0324,0.058800000000000005,456774306079452.312500
0.27873000000000003,0.0356,0.056400000000000006,456774306079452.312500
0.2787400000000001,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.27875000000000005,0.034800000000000005,0.0524,456774306079452.312500
0.2787600000000001,0.0356,0.056400000000000006,456774306079452.312500
0.2787700000000001,0.030000000000000002,0.058,456774306079452.312500
0.27878000000000003,0.034800000000000005,0.050800000000000005,456774306079452.312500
0.2787900000000001,0.0324,0.054,456774306079452.312500
0.27880000000000005,0.034800000000000005,0.0572,456774306079452.312500
0.2788100000000001,0.0364,0.058,456774306079452.312500
0.27882000000000007,0.0356,0.058,456774306079452.312500
0.27883,0.0332,0.058800000000000005,456774306079452.312500
0.2788400000000001,0.0356,0.058800000000000005,456774306079452.312500
0.27885000000000004,0.0364,0.058,456774306079452.312500
0.2788600000000001,0.037200000000000004,0.058,456774306079452.312500
0.27887000000000006,0.0364,0.056400000000000006,456774306079452.312500
0.27888,0.0356,0.058,456774306079452.312500
0.2788900000000001,0.038,0.0516,456774306079452.312500
0.27890000000000004,0.0308,0.058,456774306079452.312500
0.2789100000000001,0.034800000000000005,0.0572,456774306079452.312500
0.27892000000000006,0.0364,0.058,456774306079452.312500
0.27893,0.0356,0.058,456774306079452.312500
0.2789400000000001,0.034800000000000005,0.058,456774306079452.312500
0.27895000000000003,0.034,0.0548,456774306079452.312500
0.2789600000000001,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.27897000000000005,0.034800000000000005,0.054,456774306079452.312500
0.2789800000000001,0.034800000000000005,0.0572,456774306079452.312500
0.27899000000000007,0.0356,0.054,456774306079452.312500
0.279,0.0364,0.0604,456774306079452.312500
0.2790100000000001,0.0356,0.0596,456774306079452.312500
0.27902000000000005,0.034800000000000005,0.0596,456774306079452.312500
0.2790300000000001,0.0324,0.058,456774306079452.312500
0.27904000000000007,0.034,0.058,456774306079452.312500
0.27905,0.034800000000000005,0.0572,456774306079452.312500
0.2790600000000001,0.034,0.0444,456774306079452.312500
0.27907000000000004,0.0324,0.0572,456774306079452.312500
0.2790800000000001,0.034,0.0548,456774306079452.312500
0.27909000000000006,0.034,0.054,456774306079452.312500
0.2791,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.2791100000000001,0.0356,0.058800000000000005,456774306079452.312500
0.27912000000000003,0.034,0.058,456774306079452.312500
0.2791300000000001,0.037200000000000004,0.058,456774306079452.312500
0.27914000000000005,0.0364,0.056400000000000006,456774306079452.312500
0.27915,0.034800000000000005,0.058,456774306079452.312500
0.2791600000000001,0.034800000000000005,0.056400000000000006,456774306079452.312500
0.27917000000000003,0.037200000000000004,0.0604,456774306079452.312500
0.2791800000000001,0.037200000000000004,0.0548,456774306079452.312500
0.27919000000000005,0.0356,0.054,456774306079452.312500
0.2792000000000001,0.0356,0.0572,456774306079452.312500
0.27921000000000007,0.0356,0.056400000000000006,456774306079452.312500
0.27922,0.037200000000000004,0.058,456774306079452.312500
0.2792300000000001,0.037200000000000004,0.058,456774306079452.312500
0.27924000000000004,0.0364,0.058,456774306079452.312500
0.2792500000000001,0.0356,0.0548,456774306079452.312500
0.27926000000000006,0.027600000000000003,0.058800000000000005,456774306079452.312500
0.27927,0.034,0.058800000000000005,456774306079452.312500
0.2792800000000001,0.030000000000000002,0.058,456774306079452.312500
0.27929000000000004,0.034800000000000005,0.056400000000000006,456774306079452.312500
0.2793000000000001,0.0332,0.056400000000000006,456774306079452.312500
0.27931000000000006,0.0356,0.0572,456774306079452.312500
0.27932,0.034,0.0524,456774306079452.312500
0.2793300000000001,0.0308,0.055600000000000004,456774306079452.312500
0.27934000000000003,0.0332,0.0516,456774306079452.312500
0.2793500000000001,0.030000000000000002,0.058,456774306079452.312500
0.27936000000000005,0.034800000000000005,0.05,456774306079452.312500
0.2793700000000001,0.0284,0.058,456774306079452.312500
0.2793800000000001,0.034,0.056400000000000006,456774306079452.312500
0.27939,0.034,0.0516,456774306079452.312500
0.2794000000000001,0.0364,0.0444,456774306079452.312500
0.27941000000000005,0.034800000000000005,0.0492,456774306079452.312500
0.2794200000000001,0.0356,0.056400000000000006,456774306079452.312500
0.27943000000000007,0.0356,0.0524,456774306079452.312500
