detuning_uv_GHz,Transmission_BaselineCorrected,TransmissionErr_BaselineCorrected,Theory_NoBaseline
-2.115988584817387,0.9675609166887823,0.005737681831438824,0.9624800166592383
-2.095109817571938,0.9592871458463172,0.005755676475327421,0.9609202246160099
-2.0408250282052904,0.9484000400689506,0.005709327923498149,0.9567966185601282
-1.997675584629178,0.9519302995703722,0.005846880488129088,0.9534812459795773
-1.9614857316482812,0.9439245210425777,0.005868933346154706,0.9507025835395112
-1.9113767094677314,0.9477818333272372,0.0057023515742131966,0.9469012018952028
-1.8654434439959005,0.9550644749282575,0.00585386082746683,0.9435106483633333
-1.8417808543890715,0.9484131831415457,0.005694288281729539,0.9418146619249821
-1.7861041780561209,0.9393746682894503,0.0057247442243162595,0.9380074590095476
-1.7526981754926965,0.9333058493335303,0.005685437699183329,0.9358727310290669
-1.7137245087651536,0.9358385565820678,0.005826503865306125,0.9335526010312879
-1.6677912634331733,0.9350551237406212,0.005574194115483038,0.9310858797845181
-1.617682273266837,0.9240366539374401,0.005699062844216183,0.9287702074449472
-1.5703571210615337,0.9252863918455636,0.005597981798049874,0.9269793490810341
-1.513288561720401,0.9290867250622233,0.00565945788316058,0.9253776644812132
-1.4965855701593682,0.9275899972042099,0.005591975275425012,0.9250283399998578
-1.411678705480881,0.926115260166141,0.005870556412630917,0.9241241900603758
-1.374096983578056,0.927614614196636,0.005629795378969961,0.924193776671811
-1.3142446180572733,0.9187270492997682,0.005682111016270652,0.9248886678320892
-1.2766629040706903,0.9259727979959028,0.005799065800447531,0.925679851889699
-1.2432569388765842,0.9265894223439142,0.005728777480123974,0.9266026253557552
-1.195931825437583,0.9237659232508699,0.005671981933180221,0.9282394566944926
-1.1555662914179265,0.9432648952180953,0.00575570811917458,0.9299163954760309
-1.1138088463339955,0.9310206561679333,0.005591324154140834,0.9318928431950879
-1.0706594901857898,0.9370197783154555,0.005776345207012105,0.9341576073828715
-1.0247263092314824,0.9451802228634413,0.005710828113856264,0.9367747601479343
-0.9927122767549008,0.9350012734488168,0.0056222367572133485,0.9386969365401028
-0.9412114465376362,0.9424997487364861,0.005564492009382904,0.9419089269658283
-0.8980621068039909,0.9428371778166862,0.005635378481448705,0.9446668904546061
-0.8660480831749737,0.942260724647815,0.005701487812833037,0.9467250792646861
-0.8075876982184127,0.9521957192410287,0.005602261154070976,0.9504487738825107
-0.7644383709412068,0.9494568071091585,0.005791814675848819,0.9531205380794436
-0.7198971342295408,0.9603956455935682,0.005629211827170612,0.9557692532338662
-0.6753559020580724,0.9557413468533512,0.005741067819438456,0.9582710760626482
-0.6363823274150491,0.963995641799199,0.005712793573328531,0.9603186090752591
-0.5820977110415697,0.9562996834484215,0.005807143964418999,0.9629186277472724
-0.5431241444312036,0.9711359288288884,0.0056269313157049266,0.9645891775494482
-0.49023145204409957,0.974364794605658,0.005745530183885795,0.9665811839183943
-0.4596093697473407,0.9705072721282416,0.005560444281604126,0.967586252880501
-0.4303792022401467,0.9714699356796911,0.005822071850453678,0.9684438744524834
-0.3691350477747619,0.9748142278812342,0.005844222275963129,0.9699289237973947
-0.3371210611658171,0.9731702158733675,0.005662290626203337,0.9705422222022191
-0.29257986636366695,0.9788566240626472,0.00581494234623849,0.9712231721546787
-0.23968720296397805,0.9710538534317648,0.00561137078132901,0.9717936113476876
-0.20349748944863677,0.9764465178855966,0.005761144577424332,0.9720492197551031
-0.15617248381022364,0.9716974841318388,0.005609675330285604,0.9722430799257914
-0.10188792471308261,0.9674671681591399,0.00570350959553563,0.97230078045004
-0.07126586837694049,0.9732335573115222,0.005609421217275932,0.9722711436775296
-0.029508522246032953,0.9789812430640357,0.005815261877448702,0.9721752417451811
0.0025054403813555837,0.9773193426352603,0.00573985580156296,0.9720686449450063
0.07210100372321904,0.9777565180146581,0.005645975848170929,0.971779868705204
0.11525024787988514,0.9743464103452415,0.005551003377581269,0.9715881399736904
