Detuning,Fluorescence,Fluorescenceerr
1.3177356640808284,37205.0,1151.4404022788153
1.2774370168335736,34431.0,1150.2351933409097
1.3285180382663384,34912.0,1150.4442620135928
1.3612665320979431,35967.0,1150.902689196615
1.447894210461527,37082.0,1151.3869896781011
1.5193037537392229,16955.0,1142.6132329007921
1.5032080402597785,16195.0,1142.2806135096578
1.5626523101236671,26150.0,1146.629844370013
1.5430164185818285,27464.0,1147.202684794627
1.619802562869154,32281.0,1149.3002218741628
1.747308470774442,29096.0,1147.9137598269306
1.6051769972546026,29395.0,1148.0439887042655
1.8027013329556212,30272.0,1148.4258791929065
1.8057176957372576,29944.0,1148.2830661470193
1.8449877186212689,28548.0,1147.6750411157332
1.917834170977585,19865.0,1143.8859208854701
1.912667730706744,14497.0,1141.537121604024
2.023623205604963,4314.0,1137.0681597863868
2.103319554356858,14427.0,1141.506460778913
2.067542656790465,7893.0,1138.6408564600165
2.077632746542804,-25286.0,1123.9768680893749
2.136217385996133,-3820.0,1133.4857740615892
2.2262313697719947,-14396.0,1128.8108787569333
2.2184163000201806,-918.0,1134.7651739456935
2.3213467750465497,-14793.0,1128.6350162918036
2.397787575609982,4292.0,1137.0584857429278
2.4359467173926532,-11394.0,1130.1398143592676
2.443598660756834,-16235.0,1127.9960106312433
2.488291823887266,-2356.0,1134.1313856868612
2.560094014974311,-5015.0,1132.9585164515072
2.4228236658964306,-10770.0,1130.4158526843119
2.645867206272669,4303.0,1137.0633227749456
2.6529992019059137,-13983.0,1128.9937998058272
2.6843659684527665,-5548.0,1132.7232671751738
2.749890365288593,-6023.0,1132.5135760775674
2.767459513153881,-10831.0,1130.3888711412546
2.773103587445803,-1009.0,1134.7250768357947
2.8381559815024957,-1921.0,1134.3231461977666
2.9950441013788804,-1239.0,1134.6237261753342
2.9548004055395722,-5071.0,1132.9338021261437
3.001625487115234,7322.0,1138.3900913131667
3.0043465251801535,21281.0,1144.504696364327
3.133904647664167,20983.0,1144.3745016383405
3.1415238013723865,20113.0,1143.9943181677083
3.216265342431143,25923.0,1146.5308543602305
3.248732855776325,14256.0,1141.431557299867
3.354642528342083,16902.0,1142.5900402156497
3.232036894070916,20005.0,1143.9471141621889
3.3845266854623333,25573.0,1146.3782098417607
3.7311843550996855,25127.0,1146.1836676554067
4.1324615475023165,22811.0,1145.1729127079457
4.529318434768356,22059.0,1144.8445309298552
5.086272832355462,29150.0,1147.9372805166665
5.472506742575206,30874.0,1148.6879471814789
5.6635692758718506,31133.0,1148.8006789691588
6.353504333412275,35832.0,1150.8440380868296
6.665746996528469,33872.0,1149.9921738864139
7.136446152348071,33095.0,1149.6542958646307
7.555946053005755,34338.0,1150.194766115722
7.955872843391262,37233.0,1151.4525608986241
8.37831816833932,38161.0,1151.8554596823335
