detuning_uv_GHz,Transmission_BaselineCorrected,TransmissionErr_BaselineCorrected,Theory_NoBaseline,Residuals_Norm
-8.408892443869263,0.993784697500699,0.0062360403686379726,0.9988921923859962,-0.8190285154316295
-8.364350461866707,1.0029177448334992,0.006131601655306063,0.9988781950352071,0.6588082568599903
-8.340687535586767,0.9949703254807859,0.0062664482712714445,0.9988706487009357,-0.6224136945374331
-8.303105243598111,1.0024094964107062,0.006119565794925979,0.9988585045111951,0.5802686037717628
-8.290577813633718,1.0113856645182744,0.006212892944836134,0.9988544120956647,2.0169754305882663
-8.259955208632164,0.9928467976713322,0.00623484234106122,0.9988443142962481,-0.9619355705945649
-8.233508414705284,1.00156544554713,0.0061124415184101956,0.9988354840630326,0.44662373879159256
-8.187574513372965,0.9971563898088108,0.0061947607231976854,0.9988199019267329,-0.26853533045959965
-8.169479341479018,0.9973207829909924,0.006053691610633981,0.9988136750380736,-0.2466085395659767
-8.119369638385251,1.0042307091074925,0.006484860513460879,0.9987961702912836,0.8380348050552708
-8.053948645014316,1.00806066657907,0.006265839155452937,0.9987727185497588,1.4823151055877535
-8.033069606637582,0.9926216887028044,0.006546057002561904,0.9987650869244082,-0.9384883479015682
-7.995487340027466,0.994979052977596,0.006223826116057259,0.9987511683516193,-0.6060766004196828
